audio,text,speaker,utterance,mic,n_words,duration_sec,text_devnagari,sentence_id
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H22_M2.wav,eika baara phira sei aabhaara,F29,F29_S1_H22,M2,5,1.7188125,एक बार फिर से आभार,H22
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H23_M2.wav,naa jaanei kitanei looga isei padhtei hai,F29,F29_S1_H23,M2,7,2.6188125,ना जाने कितने लोग इसे पढ़ते है,H23
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H26_M2.wav,aapa apanaa yaha achchhaa kaarya jaarii rakhein,F29,F29_S1_H26,M2,7,3.2625625,आप अपना यह अच्छा कार्य जारी रखें,H26
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H27_M2.wav,main bhaarata mein rahataa huuna,F29,F29_S1_H27,M2,5,1.6563125,मैं भारत में रहता हूं,H27
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H30_M2.wav,jaldii sei jaldii kuchha kiijiei,F29,F29_S1_H30,M2,5,1.8535625,जल्दी से जल्दी कुछ कीजिए,H30
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F34\F34_S1_H01_M2.wav,aapakei hindii pasanda karanei para khushii huii,F34,F34_S1_H01,M2,7,3.15,आपके हिंदी पसंद करने पर खुशी हुई,H01
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F34\F34_S1_H02_M2.wav,isakei badalei mein tuma kuchha aura maanaga loo,F34,F34_S1_H02,M2,8,2.9750625,इसके बदले में तुम कुछ और मांग लो,H02
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F34\F34_S1_H03_M2.wav,chikitsaa kaa artha hootaa hai ilaaja,F34,F34_S1_H03,M2,6,2.5000625,चिकित्सा का अर्थ होता है इलाज,H03
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F34\F34_S1_H04_M2.wav,isei aisei hii jaarii rakhein,F34,F34_S1_H04,M2,5,2.5313125,इसे ऐसे ही जारी रखें,H04
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F34\F34_S1_H05_M2.wav,madada kei liyei dhanyavaada bahuta bahuta dhanyavaada,F34,F34_S1_H05,M2,7,3.2375625,मदद के लिए धन्यवाद बहुत बहुत धन्यवाद,H05
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F34\F34_S1_H06_M2.wav,joo main kahataa huuna paalana paalana karoo paalana karoo,F34,F34_S1_H06,M2,9,3.6500625,जो मैं कहता हूं पालन पालन करो पालन करो,H06
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F34\F34_S1_H07_M2.wav,bhaarata mein aisaa nahiin huaa hai,F34,F34_S1_H07,M2,6,3.0188125,भारत में ऐसा नहीं हुआ है,H07
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F34\F34_S1_H08_M2.wav,isa sahayooga bhii bahuta dhanyavaada,F34,F34_S1_H08,M2,5,2.5000625,इस सहयोग भी बहुत धन्यवाद,H08
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H01_M2.wav,aapakei hindii pasanda karanei para khushii huii,F35,F35_S1_H01,M2,7,2.7935625,आपके हिंदी पसंद करने पर खुशी हुई,H01
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H02_M2.wav,isakei badalei mein tuma kuchha aura maanaga loo,F35,F35_S1_H02,M2,8,3.265625,इसके बदले में तुम कुछ और मांग लो,H02
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H03_M2.wav,chikitsaa kaa artha hootaa hai ilaaja,F35,F35_S1_H03,M2,6,3.6784375,चिकित्सा का अर्थ होता है इलाज,H03
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H04_M2.wav,isei aisei hii jaarii rakhein,F35,F35_S1_H04,M2,5,3.3375625,इसे ऐसे ही जारी रखें,H04
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H05_M2.wav,madada kei liyei bahuta dhanyavaada,F35,F35_S1_H05,M2,5,2.3319375,मदद के लिए बहुत धन्यवाद,H05
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H06_M2.wav,aba joo main kahataa huuna usakaa paalana karoo,F35,F35_S1_H06,M2,8,3.0623125,अब जो मैं कहता हूं उसका पालन करो,H06
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H07_M2.wav,bhaarata mein aisaa nahiin huaa hai,F35,F35_S1_H07,M2,6,2.2684375,भारत में ऐसा नहीं हुआ है,H07
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H08_M2.wav,isa sahayooga heitu bhii bahuta dhanyavaada,F35,F35_S1_H08,M2,6,3.3725625,इस सहयोग हेतु भी बहुत धन्यवाद,H08
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H11_M2.wav,yahaan sei sangharshha kaa daura shuruu huaa,F35,F35_S1_H11,M2,7,3.6375625,यहाँ से संघर्ष का दौर शुरू हुआ,H11
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H12_M2.wav,doonoon mein badaa antara thaa,F35,F35_S1_H12,M2,5,2.0313125,दोनों में बड़ा अंतर था,H12
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H14_M2.wav,bahuta sei looga aisaa kara rahei hai,F35,F35_S1_H14,M2,7,2.7125625,बहुत से लोग ऐसा कर रहे है,H14
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H15_M2.wav,samaya kei saatha hii nahiin usasei aagei chalaa jaaei,F35,F35_S1_H15,M2,9,5.1063125,समय के साथ ही नहीं उससे आगे चला जाए,H15
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H17_M2.wav,shaayada samajha aa gayaa hoo,F35,F35_S1_H17,M2,5,2.4563125,शायद समझ आ गया हो,H17
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H19_M2.wav,main bhuula hii gayaa thaa isa baata koo,F35,F35_S1_H19,M2,8,2.8250625,मैं भूला ही गया था इस बात को,H19
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H20_M2.wav,magara vaha bhii nahiin huaa,F35,F35_S1_H20,M2,5,2.7500625,मगर वह भी नहीं हुआ,H20
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H21_M2.wav,dara kaa artha hootaa hai bhaya,F35,F35_S1_H21,M2,6,2.4688125,दर का अर्थ होता है भय,H21
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H22_M2.wav,eika baara phira sei aabhaara,F35,F35_S1_H22,M2,5,2.2438125,एक बार फिर से आभार,H22
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H23_M2.wav,naa jaanei kitanei looga isei padhtei hai,F35,F35_S1_H23,M2,7,3.4813125,ना जाने कितने लोग इसे पढ़ते है,H23
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H26_M2.wav,aapa apanaa yaha achchhaa kaarya jaarii rakhein,F35,F35_S1_H26,M2,7,3.5188125,आप अपना यह अच्छा कार्य जारी रखें,H26
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H27_M2.wav,main bhaarata mein rahataa huuna,F35,F35_S1_H27,M2,5,2.6313125,मैं भारत में रहता हूं,H27
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F35\F35_S1_H30_M2.wav,jaldii sei jaldii kuchha kiijiei,F35,F35_S1_H30,M2,5,2.3060625,जल्दी से जल्दी कुछ कीजिए,H30
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H01_M2.wav,aapakei hindii pasanda karanei para khushii huii,F45,F45_S1_H01,M2,7,5.0625,आपके हिंदी पसंद करने पर खुशी हुई,H01
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H02_M2.wav,isakei badalei mein tuma kuchha aura maanaga loo,F45,F45_S1_H02,M2,8,6.1625625,इसके बदले में तुम कुछ और मांग लो,H02
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H03_M2.wav,chikitsaa kaa artha hootaa hai ilaaja,F45,F45_S1_H03,M2,6,3.5625625,चिकित्सा का अर्थ होता है इलाज,H03
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H04_M2.wav,isei aisei hii jaarii rakhein,F45,F45_S1_H04,M2,5,3.6938125,इसे ऐसे ही जारी रखें,H04
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H05_M2.wav,madada kei liyei bahuta dhanyavaada,F45,F45_S1_H05,M2,5,2.8438125,मदद के लिए बहुत धन्यवाद,H05
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H06_M2.wav,aba joo main kahataa huuna usakaa paalana karoo,F45,F45_S1_H06,M2,8,4.5500625,अब जो मैं कहता हूं उसका पालन करो,H06
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H07_M2.wav,bhaarata mein aisaa nahiin huaa hai,F45,F45_S1_H07,M2,6,4.3563125,भारत में ऐसा नहीं हुआ है,H07
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H08_M2.wav,isa sahayooga heitu bhii bahuta dhanyavaada,F45,F45_S1_H08,M2,6,4.1750625,इस सहयोग हेतु भी बहुत धन्यवाद,H08
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H11_M2.wav,yahaan sei sangharshha kaa daura shuruu huaa,F45,F45_S1_H11,M2,7,2.9375625,यहाँ से संघर्ष का दौर शुरू हुआ,H11
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H12_M2.wav,doonoon mein badaa antara thaa,F45,F45_S1_H12,M2,5,2.7250625,दोनों में बड़ा अंतर था,H12
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H14_M2.wav,bahuta sei looga aisaa kara rahei hai,F45,F45_S1_H14,M2,7,2.1875625,बहुत से लोग ऐसा कर रहे है,H14
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H15_M2.wav,samaya kei saatha hii nahiin usasei aagei chalaa jaaei,F45,F45_S1_H15,M2,9,3.6750625,समय के साथ ही नहीं उससे आगे चला जाए,H15
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H17_M2.wav,shaayada samajha gayaa hoo shaayada samajha aa gayaa hoo,F45,F45_S1_H17,M2,9,4.1000625,शायद समझ गया हो शायद समझ आ गया हो,H17
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H19_M2.wav,main bhuula hii gayaa thaa isa baata koo,F45,F45_S1_H19,M2,8,2.5563125,मैं भूला ही गया था इस बात को,H19
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H20_M2.wav,magara vaha bhii nahiin huaa,F45,F45_S1_H20,M2,5,1.6938125,मगर वह भी नहीं हुआ,H20
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H21_M2.wav,dara kaa artha hootaa hai bhaya bhaya,F45,F45_S1_H21,M2,7,2.4875625,दर का अर्थ होता है भय भय,H21
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H22_M2.wav,eika baara phira sei aabhaara,F45,F45_S1_H22,M2,5,2.0188125,एक बार फिर से आभार,H22
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H23_M2.wav,naa jaanei kitanei looga isei padhtei hai,F45,F45_S1_H23,M2,7,2.8375625,ना जाने कितने लोग इसे पढ़ते है,H23
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H26_M2.wav,aapa apanaa yaha achchhaa kaarya jaarii rakhein,F45,F45_S1_H26,M2,7,3.5500625,आप अपना यह अच्छा कार्य जारी रखें,H26
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H27_M2.wav,main bhaarata mein rahataa huuna,F45,F45_S1_H27,M2,5,1.8750625,मैं भारत में रहता हूं,H27
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F45\F45_S1_H30_M2.wav,jaldii sei jaldii kuchha kiijiei,F45,F45_S1_H30,M2,5,1.8426875,जल्दी से जल्दी कुछ कीजिए,H30
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F57\F57_S1_H01_M2.wav,aapakei hindii pasanda karanei para khushii huii,F57,F57_S1_H01,M2,7,3.375,आपके हिंदी पसंद करने पर खुशी हुई,H01
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F57\F57_S1_H02_M2.wav,isakei badalei mein tuma aura maanaga loo,F57,F57_S1_H02,M2,7,3.0125625,इसके बदले में तुम और मांग लो,H02
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F57\F57_S1_H03_M2.wav,chikitsaa kaa artha hootaa hai ilaaja,F57,F57_S1_H03,M2,6,3.9375625,चिकित्सा का अर्थ होता है इलाज,H03
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F57\F57_S1_H04_M2.wav,aisei aisei bhii jaarii rakhein,F57,F57_S1_H04,M2,5,3.3750625,ऐसे ऐसे भी जारी रखें,H04
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F57\F57_S1_H05_M2.wav,madada kei liyei dhanyavaada,F57,F57_S1_H05,M2,4,2.1000625,मदद के लिए धन्यवाद,H05
