audio,text,speaker,utterance,mic,n_words,duration_sec,text_devnagari
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H20_M2.wav,magara vaha bhii nahiin huaa,CF00,CF00_S1_H20,M2,5,2.38375,मगर वह भी नहीं हुआ
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H21_M2.wav,dara kaa artha hootaa hai bhaya,CF00,CF00_S1_H21,M2,6,2.7365625,दर का अर्थ होता है भय
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H22_M2.wav,eika baara phira sei aabhaara,CF00,CF00_S1_H22,M2,5,2.594,एक बार फिर से आभार
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H23_M2.wav,naa jaanei kitanei looga isei padhtei hai,CF00,CF00_S1_H23,M2,7,2.9441875,ना जाने कितने लोग इसे पढ़ते है
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H24_M2.wav,abhii main shaanta hii huuna,CF00,CF00_S1_H24,M2,5,2.3135625,अभी मैं शांत ही हूं
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H25_M2.wav,svaagata kei liyei dhanyavaada,CF00,CF00_S1_H25,M2,4,2.8123125,स्वागत के लिए धन्यवाद
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H26_M2.wav,aapa apanaa yaha achchhaa kaarya jaarii rakhein,CF00,CF00_S1_H26,M2,7,3.5445625,आप अपना यह अच्छा कार्य जारी रखें
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H27_M2.wav,main bhaarata mein rahataa huuna,CF00,CF00_S1_H27,M2,5,2.261875,मैं भारत में रहता हूं
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H28_M2.wav,kahaa jaataa hai ki unhoonnei kabhii jiivana mein jhuutha kaa sahaaraa nahiin liyaa,CF00,CF00_S1_H28,M2,13,4.86375,कहा जाता है कि उन्होंने कभी जीवन में झूठ का सहारा नहीं लिया
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H29_M2.wav,aapakaa sandeisha paakara achchhaa lagaa,CF00,CF00_S1_H29,M2,5,2.906875,आपका संदेश पाकर अच्छा लगा
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H30_M2.wav,jaldii sei jaldii kuchha kiijiei,CF00,CF00_S1_H30,M2,5,2.6165625,जल्दी से जल्दी कुछ कीजिए
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H01_M2.wav,aapakei hindii pasanda karanei para khushii huii,CF02,CF02_S1_H01,M2,7,3.069875,आपके हिंदी पसंद करने पर खुशी हुई
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H02_M2.wav,isakei badalei mein tuma kuchha aura maanaga loo,CF02,CF02_S1_H02,M2,8,4.3081875,इसके बदले में तुम कुछ और मांग लो
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H03_M2.wav,chikitsaa kaa artha hootaa hai ilaaja,CF02,CF02_S1_H03,M2,6,2.760375,चिकित्सा का अर्थ होता है इलाज
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H04_M2.wav,isei aisei hii jaarii rakhein,CF02,CF02_S1_H04,M2,5,2.07675,इसे ऐसे ही जारी रखें
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H05_M2.wav,madada kei liyei bahuta dhanyavaada,CF02,CF02_S1_H05,M2,5,2.0896875,मदद के लिए बहुत धन्यवाद
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H06_M2.wav,aba joo main kahataa huuna usakaa paalana karoo,CF02,CF02_S1_H06,M2,8,3.0054375,अब जो मैं कहता हूं उसका पालन करो
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H07_M2.wav,bhaarata mein aisaa nahiin huaa,CF02,CF02_S1_H07,M2,5,2.025125,भारत में ऐसा नहीं हुआ
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H08_M2.wav,isa sahayooga heitu bhii bahuta dhanyavaada,CF02,CF02_S1_H08,M2,6,2.631375,इस सहयोग हेतु भी बहुत धन्यवाद
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H09_M2.wav,para sanbhava naa hoo sakaa,CF02,CF02_S1_H09,M2,5,2.3734375,पर संभव ना हो सका
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H10_M2.wav,meirii baatoon koo dhyaana diijiyei,CF02,CF02_S1_H10,M2,5,3.8180625,मेरी बातों को ध्यान दीजिए
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H11_M2.wav,yahaan sei sangharshha kaa daura shuruu huaa,CF02,CF02_S1_H11,M2,7,3.1215625,यहाँ से संघर्ष का दौर शुरू हुआ
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H12_M2.wav,doonoon mein badaa antara thaa,CF02,CF02_S1_H12,M2,5,2.386375,दोनों में बड़ा अंतर था
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H13_M2.wav,aapa sabhii kei sahayooga kei liyei bahuta dhanyavaada,CF02,CF02_S1_H13,M2,8,2.9150625,आप सभी के सहयोग के लिए बहुत धन्यवाद
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H14_M2.wav,bahuta sei looga aisaa kara rahei hai,CF02,CF02_S1_H14,M2,7,2.3218125,बहुत से लोग ऐसा कर रहे है
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H15_M2.wav,samaya kei saatha hii nahiin usasei aagei chalaa jaaei,CF02,CF02_S1_H15,M2,9,4.2953125,समय के साथ ही नहीं उससे आगे चला जाए
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H16_M2.wav,main krikeita kheila koo kaaphii pasanda karataa huuna,CF02,CF02_S1_H16,M2,8,3.3279375,मैं क्रिकेट खेल को काफी पसंद करता हूं
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H17_M2.wav,shaayada samajha aa gayaa hoo,CF02,CF02_S1_H17,M2,5,2.3863125,शायद समझ आ गया हो
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H18_M2.wav,joo shaayada aapanei deikhaa naa hoo,CF02,CF02_S1_H18,M2,6,2.6700625,जो शायद आपने देखा ना हो
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H19_M2.wav,main bhuula hii gayaa thaa isa baata koo,CF02,CF02_S1_H19,M2,8,3.5988125,मैं भूला ही गया था इस बात को
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H20_M2.wav,magara vaha bhii nahiin huaa,CF02,CF02_S1_H20,M2,5,2.9280625,मगर वह भी नहीं हुआ
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H21_M2.wav,dara kaa artha hootaa hai bhaya,CF02,CF02_S1_H21,M2,6,2.6055625,दर का अर्थ होता है भय
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H22_M2.wav,eika baara phira sei aabhaara,CF02,CF02_S1_H22,M2,5,2.7345625,एक बार फिर से आभार
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H23_M2.wav,naa naa jaanei kitanei looga isei padhtei hai,CF02,CF02_S1_H23,M2,8,4.0244375,ना ना जाने कितने लोग इसे पढ़ते है
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H24_M2.wav,abhii main shaanta hii huuna,CF02,CF02_S1_H24,M2,5,1.93675,अभी मैं शांत ही हूं
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H25_M2.wav,svaagata kei liyei dhanyavaada,CF02,CF02_S1_H25,M2,4,1.9975,स्वागत के लिए धन्यवाद
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H26_M2.wav,aapa apanaa yaha achchhaa kaarya jaarii rakhein,CF02,CF02_S1_H26,M2,7,3.1989375,आप अपना यह अच्छा कार्य जारी रखें
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H27_M2.wav,main bhaarata mein rahataa huuna,CF02,CF02_S1_H27,M2,5,1.870375,मैं भारत में रहता हूं
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H28_M2.wav,kahaa jaataa hai ki unhoonnei kabhii jiivana mein jhuutha kaa sahaaraa nahiin liyaa,CF02,CF02_S1_H28,M2,13,5.236875,कहा जाता है कि उन्होंने कभी जीवन में झूठ का सहारा नहीं लिया
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H29_M2.wav,aapakaa sandeisha paakara achchhaa lagaa,CF02,CF02_S1_H29,M2,5,3.3279375,आपका संदेश पाकर अच्छा लगा
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF02\CF02_S1_H30_M2.wav,jaldii sei jaldii kuchha kiijiei,CF02,CF02_S1_H30,M2,5,1.8445625,जल्दी से जल्दी कुछ कीजिए
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H01_M2.wav,aapakei hindii pasanda karanei para khushii huii,CF06,CF06_S1_H01,M2,7,3.0040625,आपके हिंदी पसंद करने पर खुशी हुई
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H02_M2.wav,isakei badalei mein tuma kuchha aura maanaga loo,CF06,CF06_S1_H02,M2,8,3.0903125,इसके बदले में तुम कुछ और मांग लो
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H03_M2.wav,chikitsaa kaa artha hootaa hai ilaaja,CF06,CF06_S1_H03,M2,6,3.10475,चिकित्सा का अर्थ होता है इलाज
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H04_M2.wav,isei aisei hii jaarii rakhein,CF06,CF06_S1_H04,M2,5,2.6735,इसे ऐसे ही जारी रखें
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H05_M2.wav,madada kei liyei bahuta dhanyavaada,CF06,CF06_S1_H05,M2,5,3.115125,मदद के लिए बहुत धन्यवाद
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H06_M2.wav,aba joo main kahataa huuna usakaa paalana karoo,CF06,CF06_S1_H06,M2,8,3.6549375,अब जो मैं कहता हूं उसका पालन करो
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H07_M2.wav,bhaarata mein aisaa nahiin huaa hai,CF06,CF06_S1_H07,M2,6,2.7826875,भारत में ऐसा नहीं हुआ है
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H08_M2.wav,isa sahayooga heitu bhii bahuta dhanyavaada,CF06,CF06_S1_H08,M2,6,3.2625625,इस सहयोग हेतु भी बहुत धन्यवाद
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H09_M2.wav,para yaha sanbhava naa hoo sakaa,CF06,CF06_S1_H09,M2,6,2.5625625,पर यह संभव ना हो सका
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H10_M2.wav,meirii baatoon ki oora dhyaana diijiyei,CF06,CF06_S1_H10,M2,6,3.1250625,मेरी बातों कि और ध्यान दीजिए
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H11_M2.wav,yahaan sei sangharshha kaa daura shuruu huaa,CF06,CF06_S1_H11,M2,7,2.9250625,यहाँ से संघर्ष का दौर शुरू हुआ
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H12_M2.wav,doonoon mein badaa antara thaa,CF06,CF06_S1_H12,M2,5,3.0750625,दोनों में बड़ा अंतर था
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H13_M2.wav,aapa sabhii kei sahayooga kei liyei bahuta dhanyavaada,CF06,CF06_S1_H13,M2,8,3.7500625,आप सभी के सहयोग के लिए बहुत धन्यवाद
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H14_M2.wav,bahuta sei looga aisaa kara rahei hai,CF06,CF06_S1_H14,M2,7,3.1625625,बहुत से लोग ऐसा कर रहे है
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H15_M2.wav,samaya kei saatha hii nahiin usasei aagei chalaa jaaei,CF06,CF06_S1_H15,M2,9,4.8750625,समय के साथ ही नहीं उससे आगे चला जाए
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H16_M2.wav,main krikeita kheila koo kaaphii pasanda karataa huuna,CF06,CF06_S1_H16,M2,8,3.8375625,मैं क्रिकेट खेल को काफी पसंद करता हूं
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H17_M2.wav,shaayada samajha aa gayaa hoo,CF06,CF06_S1_H17,M2,5,2.7500625,शायद समझ आ गया हो
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H18_M2.wav,joo shaayada aapanei deikhaa naa hoo,CF06,CF06_S1_H18,M2,6,3.9375625,जो शायद आपने देखा ना हो
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H19_M2.wav,main bhuula hii gayaa thaa isa baata koo,CF06,CF06_S1_H19,M2,8,3.1875625,मैं भूला ही गया था इस बात को
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H20_M2.wav,magara vaha bhii nahiin huaa,CF06,CF06_S1_H20,M2,5,2.3750625,मगर वह भी नहीं हुआ
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H21_M2.wav,dara kaa artha hootaa hai bhaya,CF06,CF06_S1_H21,M2,6,2.5000625,दर का अर्थ होता है भय
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H22_M2.wav,eika baara phira sei aabhaara,CF06,CF06_S1_H22,M2,5,2.7500625,एक बार फिर से आभार
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H23_M2.wav,naa jaanei kitanei looga isei padhtei hai,CF06,CF06_S1_H23,M2,7,3.5000625,ना जाने कितने लोग इसे पढ़ते है
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H24_M2.wav,abhii main shaanta hii huuna,CF06,CF06_S1_H24,M2,5,2.6250625,अभी मैं शांत ही हूं
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H25_M2.wav,svaagata kei liyei dhanyavaada,CF06,CF06_S1_H25,M2,4,2.6875625,स्वागत के लिए धन्यवाद
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H26_M2.wav,aapa apanaa yaha achchhaa kaarya jaarii rakhein,CF06,CF06_S1_H26,M2,7,3.9375625,आप अपना यह अच्छा कार्य जारी रखें
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H27_M2.wav,main bhaarata mein rahataa huuna,CF06,CF06_S1_H27,M2,5,2.1875625,मैं भारत में रहता हूं
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H28_M2.wav,kahaa jaataa hai ki unhoonnei kabhii jiivana mein jhuutha kaa sahaaraa nahiin liyaa,CF06,CF06_S1_H28,M2,13,7.4375625,कहा जाता है कि उन्होंने कभी जीवन में झूठ का सहारा नहीं लिया
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H29_M2.wav,aapakaa sandeisha paakara achchhaa lagaa,CF06,CF06_S1_H29,M2,5,2.8438125,आपका संदेश पाकर अच्छा लगा
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF06\CF06_S1_H30_M2.wav,jaldii sei jaldii kuchha kiijiei,CF06,CF06_S1_H30,M2,5,2.1008125,जल्दी से जल्दी कुछ कीजिए
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CM04\CM04_S1_H01_M2.wav,aapakei hindii pasanda karanei para khushii huii,CM04,CM04_S1_H01,M2,7,2.2625,आपके हिंदी पसंद करने पर खुशी हुई
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CM04\CM04_S1_H02_M2.wav,isakei badalei mein tuma kuchha aura maanaga loo,CM04,CM04_S1_H02,M2,8,2.3813125,इसके बदले में तुम कुछ और मांग लो
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CM04\CM04_S1_H03_M2.wav,chikitsaa kaa artha hootaa hai ilaaja,CM04,CM04_S1_H03,M2,6,2.4813125,चिकित्सा का अर्थ होता है इलाज
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CM04\CM04_S1_H04_M2.wav,isei aisei hii jaarii rakhein,CM04,CM04_S1_H04,M2,5,1.8125625,इसे ऐसे ही जारी रखें
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CM04\CM04_S1_H05_M2.wav,madada kei liyei bahuta dhanyavaada,CM04,CM04_S1_H05,M2,5,2.0438125,मदद के लिए बहुत धन्यवाद
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CM04\CM04_S1_H06_M2.wav,aba joo main kahataa huuna usakaa paalana karoo,CM04,CM04_S1_H06,M2,8,2.4313125,अब जो मैं कहता हूं उसका पालन करो
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CM04\CM04_S1_H07_M2.wav,bhaarata mein aisaa nahiin huaa hai,CM04,CM04_S1_H07,M2,6,2.2000625,भारत में ऐसा नहीं हुआ है
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CM04\CM04_S1_H08_M2.wav,isa sahayooga heitu bhii bahuta dhanyavaada,CM04,CM04_S1_H08,M2,6,2.5125625,इस सहयोग हेतु भी बहुत धन्यवाद
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CM04\CM04_S1_H09_M2.wav,para yaha sanbhava naa hoo sakaa,CM04,CM04_S1_H09,M2,6,1.9375625,पर यह संभव ना हो सका
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CM04\CM04_S1_H10_M2.wav,meirii baatoon ki oora dhyaana diijiyei,CM04,CM04_S1_H10,M2,6,2.2500625,मेरी बातों कि और ध्यान दीजिए
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CM04\CM04_S1_H11_M2.wav,yahaan sei sangharshha kaa daura shuruu huaa,CM04,CM04_S1_H11,M2,7,2.1875625,यहाँ से संघर्ष का दौर शुरू हुआ
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CM04\CM04_S1_H12_M2.wav,doonoon mein badaa antara thaa,CM04,CM04_S1_H12,M2,5,1.6875625,दोनों में बड़ा अंतर था
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CM04\CM04_S1_H13_M2.wav,aapa sabhii kei sahayooga kei liyei bahuta dhanyavaada,CM04,CM04_S1_H13,M2,8,2.6250625,आप सभी के सहयोग के लिए बहुत धन्यवाद
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CM04\CM04_S1_H14_M2.wav,bahuta sei looga aisaa kara rahei hai,CM04,CM04_S1_H14,M2,7,2.1250625,बहुत से लोग ऐसा कर रहे है
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CM04\CM04_S1_H15_M2.wav,samaya kei saatha hii nahiin usasei aagei chalaa jaaei,CM04,CM04_S1_H15,M2,9,2.6875625,समय के साथ ही नहीं उससे आगे चला जाए
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CM04\CM04_S1_H16_M2.wav,main krikeita kheila koo kaaphii pasanda karataa huuna,CM04,CM04_S1_H16,M2,8,2.6250625,मैं क्रिकेट खेल को काफी पसंद करता हूं
